Model;Manufacturer-ICAO;ICAO;Type;ICAO-Type;W;C;AWC
1;SAFAT;PA18;Fixed-wing;1P/S;Light;F;I
01 Colibri;NEW HORIZONS;NHCO;Fixed-wing;1P/S;Light;F;I
01 Festival;AEROSTAR (2);FEST;Fixed-wing;1P/S;Light;F;I
01 Isatis;AEROJAMES;ISAT;Fixed-wing;1P/S;Light;F;I
2;SAFAT;ZA6;Helicopter;1P/S;Light;F;I
3;SAFAT;UT75;Fixed-wing;1P/S;Light;F;I
1;AIRO;JFOX;Fixed-wing;1P/S;Light;F;I
1;MOLNIYA;MOL1;Fixed-wing;1P/S;Light;F;I
1;SOLAR IMPULSE;SOL1;Fixed-wing;4E/S;Light;F;III
1 Fermer;MVEN;MVN1;Fixed-wing;1P/S;Light;F;I
10;FLEET;FINC;Fixed-wing;1P/S;Light;F;I
10;ORION;OR10;@Fixed-wing;1P/S;Light;F;I
10;WACO;WACO;Fixed-wing;1P/S;Light;F;I
10 Albertan;ULTIMATE;UL10;Fixed-wing;1P/S;Light;F;I
10 Ultimate Competitor;STREAMLINE WELDING;UL10;Fixed-wing;1P/S;Light;F;I
10 Ultimate Winner;STREAMLINE WELDING;UL10;Fixed-wing;1P/S;Light;F;I
10 Voyager;STINSON;S10;Fixed-wing;1P/S;Light;F;I
100;FOKKER;F100;Fixed-wing;2J/L;Medium;D;III
100;LILIENTHAL;LX32;Fixed-wing;1P/S;Light;F;I
100 Centennial;FOUND;CENT;Fixed-wing;1P/S;Light;F;I
100 Commander 100;AERO COMMANDER NORTH AMERICAN ROCKWELL;VO10;Fixed-wing;1P/S;Light;F;I
100 Darter Commander;NORTH AMERICAN ROCKWELL;VO10;Fixed-wing;1P/S;Light;F;I
100 King Air;BEECH;BE10;Fixed-wing;2T/S;Light;F;II
100 Lark Commander;NORTH AMERICAN ROCKWELL;LARK;Fixed-wing;1P/S;Light;F;I
100 Sunbird;VERILITE;SUNB;Fixed-wing;1P/S;Light;F;I
1000;NORD;ME08;Fixed-wing;1P/S;Light;F;I
1001 Pingouin 1;NORD;ME08;Fixed-wing;1P/S;Light;F;I
1002 Pingouin 2;NORD;ME08;Fixed-wing;1P/S;Light;F;I
101;SCWAL;SCW1;Fixed-wing;1P/S;Light;F;I
101 Arava;IAI;ARVA;Fixed-wing;2T/S+;Light;F;III
102 Arava;IAI;ARVA;Fixed-wing;2T/S+;Light;F;III
105;STINSON;S10;Fixed-wing;1P/S;Light;F;I
105;SAAB;SB05*;Fixed-wing;2J/S;Light;F;III
1050 Alizé;BREGUET;ALIZ;Fixed-wing;1T/S+;Medium;F;III
107;BOEING VERTOL VERTOL;H46;Helicopter;2T/S+;Medium;F;I
107;SPRATT;S107;$Fixed-wing;1P/S;Light;F;I
1074;BEECH;U22;Fixed-wing;1P/S;Light;F;I
1079;BEECH;U22;Fixed-wing;1P/S;Light;F;I
108 Station Wagon;PIPER STINSON;S108;Fixed-wing;1P/S;Light;F;I
108 Voyager;PIPER STINSON;S108;Fixed-wing;1P/S;Light;F;I
11;BLERIOT;BL11;Fixed-wing;1P/S;Light;F;I
11;FLEET;FINC;Fixed-wing;1P/S;Light;F;I
11 Chief;AERONCA;AR11;Fixed-wing;1P/S;Light;F;I
11 Replica;BLERIOT;BL11;Fixed-wing;1P/S;Light;F;I
110 Special;AVIAT MONOCOUPE;M110;Fixed-wing;1P/S;Light;F;I
1100 Noralpha;NORD;N110;Fixed-wing;1P/S;Light;F;I
1101 Ramier 1;NORD;N110;Fixed-wing;1P/S;Light;F;I
1102 Ramier 2;NORD;N110;Fixed-wing;1P/S;Light;F;I
111 One-Eleven;BAC;BA11;Fixed-wing;2J/L;Medium;D;III
112 Alpine Commander;ROCKWELL;AC11;Fixed-wing;1P/S;Light;F;I
112 Commander 112;NORTH AMERICAN ROCKWELL ROCKWELL;AC11;Fixed-wing;1P/S;Light;F;I
1121 Commodore Jet;IAI;JCOM;Fixed-wing;2J/S+;Medium;F;III
1121 Jet Commander;AERO COMMANDER;JCOM;Fixed-wing;2J/S+;Medium;F;III
1123 Westwind;IAI;WW23;Fixed-wing;2J/S+;Medium;F;III
1124 Sea Scan;IAI;WW24;Fixed-wing;2J/S+;Medium;F;III
1124 Westwind;IAI;WW24;Fixed-wing;2J/S+;Medium;F;III
1124 Westwind 1;IAI;WW24;Fixed-wing;2J/S+;Medium;F;III
1124 Westwind 2;IAI;WW24;Fixed-wing;2J/S+;Medium;F;III
1125 Astra;IAI;ASTR;Fixed-wing;2J/S+;Medium;F;III
1125 Gulfstream G100;IAI;ASTR;Fixed-wing;2J/S+;Medium;F;III
1126 Galaxy;IAI;GALX;Fixed-wing;2J/S+;Medium;F;III
1126 Gulfstream G200;IAI;GALX;Fixed-wing;2J/S+;Medium;F;III
