ICAO;Type;ICAO-Type;W;C;AWC;Model
A002;Gyrocopter;1P/S;Light;F;I;IRKUT, A-002
;;;;;;DOUGLAS, AD Skyraider
A1;Fixed-wing;1P/S+;Medium;F;III;DOUGLAS, EA-1 Skyraider
;;;;;;DOUGLAS, Skyraider
;;;;;;FAIRCHILD (1), A-10 Thunderbolt 2
A10*;Fixed-wing;2J/L;Medium;E;III;FAIRCHILD (1), OA-10 Thunderbolt 2
;;;;;;FAIRCHILD (1), Thunderbolt 2
;;;;;;AGUSTA, A-109
;;;;;;AGUSTA, A-109 Grand
;;;;;;AGUSTA, A-109 Nexus
;;;;;;AGUSTA, A-109 Power
;;;;;;AGUSTA, AW-109
;;;;;;AGUSTA, AW-109 Da Vinci
;;;;;;AGUSTA, AW-109 Grand
;;;;;;AGUSTA, AW-109 GrandNew
;;;;;;AGUSTA, AW-109 Nexus
;;;;;;AGUSTA, AW-109 Power
;;;;;;AGUSTA, AW-109 Trekker
;;;;;;AGUSTA, Da Vinci
;;;;;;AGUSTA, ESC-2
;;;;;;AGUSTA, Grand
;;;;;;AGUSTA, GrandNew
;;;;;;AGUSTA, Hkp15
;;;;;;AGUSTA, MH-68 Stingray
;;;;;;AGUSTA, Nexus
;;;;;;AGUSTA, Power
A109;Helicopter;2T/S;Light;F;I;AGUSTA, Stingray
;;;;;;AGUSTA, Trekker
;;;;;;AGUSTAWESTLAND, AW-109
;;;;;;AGUSTAWESTLAND, AW-109 Grand
;;;;;;AGUSTAWESTLAND, AW-109 GrandNew
;;;;;;AGUSTAWESTLAND, AW-109 Power
;;;;;;AGUSTAWESTLAND, Grand
;;;;;;AGUSTAWESTLAND, GrandNew
;;;;;;AGUSTAWESTLAND, Power
;;;;;;DENEL, A-109
;;;;;;FINMECCANICA, AW-109 GrandNew
;;;;;;FINMECCANICA, AW-109 Power
;;;;;;FINMECCANICA, Grand
;;;;;;FINMECCANICA, Power
;;;;;;JIANGXI CHANGHE-AGUSTA, CA-109 Power
;;;;;;JIANGXI CHANGHE-AGUSTA, Power
;;;;;;LEONARDO, AW-109 GrandNew
;;;;;;LEONARDO, AW-109 Trekker
;;;;;;LEONARDO, Trekker
;;;;;;SABCA, A-109
;;;;;;AGUSTA, A-119 Koala
;;;;;;AGUSTA, AW-119 Koala
;;;;;;AGUSTA, Koala
;;;;;;AGUSTAWESTLAND, AW-119 Koala
;;;;;;AGUSTAWESTLAND, Koala
A119;Helicopter;1T/S;Light;F;I;DENEL, A-119 Koala
;;;;;;DENEL, Koala
;;;;;;FINMECCANICA, AW-119 Koala
;;;;;;FINMECCANICA, Koala
;;;;;;LEONARDO, AW-119 Koala
;;;;;;LEONARDO, Koala
;;;;;;AEROTEC (1), A-122 Uirapuru
A122;Fixed-wing;1P/S;Light;F;I;AEROTEC (1), T-23 Uirapuru
;;;;;;AEROTEC (1), Uirapuru
A124;Fixed-wing;4J/H;Heavy;B;III;ANTONOV, An-124 Ruslan ANTONOV, Ruslan
;;;;;;AGUSTA, A-129 Mangusta
;;;;;;AGUSTA, AW-129
A129;Helicopter;2T/S;Light;F;I;AGUSTA, Mangusta AGUSTA, T-129
;;;;;;AGUSTAWESTLAND, AW-129
;;;;;;TAI, T-129
;;;;;;AGUSTA, AW-139
;;;;;;AGUSTA, UH-139
;;;;;;AGUSTAWESTLAND, AW-139
;;;;;;AGUSTAWESTLAND, HH-139
A139;Helicopter;2T/S+;Light;F;I;AGUSTAWESTLAND, UH-139 AGUSTAWESTLAND, VH-139
;;;;;;BELL-AGUSTA, AB-139
;;;;;;FINMECCANICA, AW-139
;;;;;;HELIVERT, AW-139
;;;;;;LEONARDO, AW-139
;;;;;;ANTONOV, An-140
A140;Fixed-wing;2T/L;Medium;E;III;HESA, Faraz
;;;;;;HESA, IRAN-140 Faraz
A148;Fixed-wing;2J/L;Medium;D;III;ANTONOV, An-148
;;;;;;AGUSTA, AW-149
A149;Helicopter;2T/S+;Medium;F;I;AGUSTAWESTLAND, AW-149
;;;;;;LEONARDO, AW-149
A158;Fixed-wing;2J/L;Medium;D;III;ANTONOV, An-158
A16;Fixed-wing;1P/S;Light;F;I;AVIADESIGN, A-16 Sport Falcon
;;;;;;AGUSTAWESTLAND, AW-169
A169;Helicopter;2T/S;Light;F;I;FINMECCANICA, AW-169
;;;;;;LEONARDO, AW-169
A178;Fixed-wing;2J/L;Medium;D;III;ANTONOV, An-178
;;;;;;AGUSTAWESTLAND, AW-189
A189;Helicopter;2T/S+;Medium;F;I;FINMECCANICA, AW-189
;;;;;;LEONARDO, AW-189
A19;Fixed-wing;1P/S;Light;F;I;AEROPRACT, A-19
A19N;Fixed-wing;2J/L;Medium;D;III;AIRBUS, A-319neo
A20;Fixed-wing;2P/S+;Medium;F;III;DOUGLAS, A-20 Havoc DOUGLAS, Havoc
A205;Gyrocopter;1P/S;Light;F;I;OSKBES-MAI, MAI-205
A20N;Fixed-wing;2J/L;Medium;D;III;AIRBUS, A-320neo
A21;Fixed-wing;1P/S;Light;F;I;AEROPRACT, A-21 Solo AEROPRACT, Solo
A210;Fixed-wing;1P/S;Light;F;I;AQUILA, A-210 AQUILA, AT-01
A211;Fixed-wing;1P/S;Light;F;I;ALFA-M, A-211
A21N;Fixed-wing;2J/L;Medium;D;III;AIRBUS, A-321neo
A22;Fixed-wing;1P/S;Light;F;I;SADLER, A-22 Piranha SADLER, Piranha
A223;Fixed-wing;1P/S;Light;F;I;OSKBES-MAI, Kityonok OSKBES-MAI, MAI-223 Kityonok
A225;Fixed-wing;6J/J;Heavy;A;III;ANTONOV, An-225 Mriya ANTONOV, Mriya
A23;Fixed-wing;1P/S;Light;F;I;AEROPRACT, A-23 Dragon AEROPRACT, Dragon
A25;@Fixed-wing;1P/S;Light;F;I;AEROPRACT, A-25 Breeze AEROPRACT, Breeze
A251;@Fixed-wing;2P/S;Light;F;II;AVIATIK-ALYANS, Aleks-251
A27;Fixed-wing;1P/S;Light;F;I;AEROPRACT, A-27 AVANTAGE, A-27
;;;;;;
;;;;;;
A270;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
A29;Fixed-wing;1P/S;Light;F;I;
A2RT;Helicopter;2T/S;Light;F;I;
;;;;;;
;;;;;;
A3*;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
;;;;;;
;;;;;;
A306;Fixed-wing;2J/H;Heavy;C;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A30B;Fixed-wing;2J/H;Heavy;C;III;8
;;;;;;
;;;;;;
;;;;;;
;;;;;;
A31;Fixed-wing;1P/S;Light;F;I;
;;;;;;
A310;Fixed-wing;2J/H;Heavy;C;III;7
;;;;;;
;;;;;;
A318;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
;;;;;;
A319;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
;;;;;;
A320;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
A321;Fixed-wing;2J/L;Medium;D;III;7
A33;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
